NUM,ROMAJI,EXPECTED,SwiftKey 6.4.8.57 (S),# characters,edit distance
1,zuttosakinokotodakedone,ずっと先のことだけどね,ずっと先のことだけどね,11,0
2,onakahetteshinisoudayo,おなか減って死にそうだよ,お腹減って死にそうだよ,12,2
3,mizunosenseigaosshattayouni,水野先生がおっしゃったように,水の先生が仰ったように,14,5
4,chiryouhougamitsukarukamoshirenai,治療法が見つかるかもしれない,治療法が見つかるかもしれない,14,0
5,okaasankawatteagerarenakutegomen'ne,お母さん代わってあげられなくてごめんね,お母さん?わってあげられなくてごめんね,19,1
6,omaegason'nakotodedousundayo,お前がそんなことでどうすんだよ,お前がそんな事でどうすんだよ,15,2
7,aitsuhason'nayawajaneeyo,あいつはそんなヤワじゃねえよ,あいつはそんなやわじゃねえよ,14,2
8,aitsugaoresouninattara,あいつが折れそうになったら,アイツが折れそうになったら,13,3
9,hirokimokokoshouyutsuiteru,弘樹もここしょうゆついてる,ひろきもここ?油ついてる,13,7
10,watashinosekaihamarudekawatteshimatta,わたしの世界はまるで?わってしまった,私の世界はまるで?わってしまった,18,3
11,ushirokaratouan'youshiatsumete,後ろから答案用紙集めて,後ろから答案用紙集めて,11,0
12,kotoshiasondokanaitomouasobenaiyo,今年遊んどかないともう遊べないよ,今年遊んどかないともう遊べないよ,16,0
13,akuatopianinoritai,アクアトピアに?りたい,アクアとぴあに?りたい,11,3
14,on'natteyokushaben'naatoomotte,女ってよくしゃべんなあと思って,女ってよくしゃべんなあと思って,15,0
15,kamenoesayaritokakingyonoesayaritoka,カメの餌やりとか金魚の餌やりとか,?の餌やりとか金魚のえさやりとか,16,4
16,son'nanodarekanitanomebaiijanai,そんなの誰かに?めばいいじゃない,そんなの誰かに?めばいいじゃない,16,0
17,kusurinokoukayarihabirinohouhouwo,?の?果やリハビリの方法を,?の?果やリハビリの方法を,13,0
18,kakuninshitaitoomottemasu,確認したいと思ってます,確認したいと思ってます,11,0
19,kon'nafuunimainichisukoshizutsu,こんなふうに?日少しずつ,こんなふうに?日少しずつ,12,0
20,nanikagadekinakunatteikuno,何かができなくなっていくの,何かができなくなっていくの,13,0
21,mewotojitetsuginohigakurunogakowai,目を閉じて次の日が?るのがこわい,目を閉じて次の日が?るのが怖い,16,2
22,asagakitewarukunatterukamoshirenaito,朝が?て?くなってるかもしれないと,朝がきて?くなってるかもしれないと,17,1
23,demootousangakiitarataihendane,でもお父さんが聞いたら大?だね,でもお父さんが聞いたら大?だね,15,0
24,dattewatashibyoukininacchattadesho,だってわたし病?になっちゃったでしょ,だって私病?になっちゃったでしょ,18,3
25,dakarasenpainimomeiwakukakechaukamo,だから先輩にも迷惑かけちゃうかも,だから先輩にも迷惑かけちゃうかも,16,0
26,fukouheinakotowoshiyoutoshiterunoha,不公平なことをしようとしてるのは,不公平なことをしようとしてるのは,16,0
27,hanabitaikaiguraiisshoniikudesho,花火大?ぐらい一?に行くでしょ,花火大?ぐらい一?に行くでしょ,15,0
28,dekirukotojibunkaranagedasunante,できること自分から投げ出すなんて,できること自分から投げ出すなんて,16,0
29,kamisamahafukouheidananteitta,神?は不公平だなんて言った,神?は不公平だなんて行った,13,1
30,yukatakitekamiappunishitara,浴衣着て?アップにしたら,浴衣着て?アップにしたら,12,0
31,senpaikittobikkurisuruwayo,先輩きっとびっくりするわよ,先輩きっとびっくりするわよ,13,0
32,okaasan'nogokougamietekitayounakigasuru,お母さんの後光が見えてきたような?がする,お母さんの後光が見えてきたような?がする,20,0
33,watashihajibunwoshinjitekoudousurebaii,わたしは自分を信じて行動すればいい,私は自分を信じて行動すればいい,17,3
34,yappanatsuhayukatatosuikato,やっぱ夏は浴衣とスイカと,やっぱ夏は浴衣とすいかと,12,3
35,otomodachimomin'natsuiterushi,お友達もみんなついてるし,お友達もみんなついてるし,12,0
36,mitsukeruhitsuyougaarimasu,見つける必要があります,見つける必要があります,11,0
37,natsuyasumiworiyoushitekensanotameno,夏休みを利用して?査のための,夏休みを利用して?査のための,14,0
38,nyuuinwosaretehaikagadeshouka,入院をされてはいかがでしょうか,入院をされてはいかがでしょうか,15,0
39,koukanihakojinsagaarunode,?果には個人差があるので,?果には個人差があるので,12,0
40,sukoshinagakunarukamoshirenaikara,少し長くなるかもしれないから,少し長くなるかもしれないから,14,0
41,omaetachimouosoikaranenasai,お前たちもう?いから?なさい,お前たちもう?いから?なさい,14,0
42,mawarigamenihairanakattandayo,周りが目に入らなかったんだよ,周りが目に入らなかったんだよ,14,0
43,rihabiriwotantousurutanabedesu,リハビリを??する田?です,リハビリを??する田?です,13,0
44,shokkumokangaetemiroyo,ショックも考えてみろよ,ショックも考えてみろよ,11,0
45,kanjamoishimochiryounisen'nensuru,患者も?師も治療に?念する,患者も石も治療にせんえんする,13,6
46,suguomimaiikanakya,すぐお見舞い行かなきゃ,すぐお見舞い行かなきゃ,11,0
47,kurasunomin'nanikoekakeru,クラスのみんなに?かける,クラスのみんなに?かける,12,0
48,akookaasan'yuugatabyouin'yottekurukara,?湖お母さん夕方病院寄ってくるから,あこお母さん夕方病院ょってくるから,17,3
49,osokunarutoomoundakedo,?くなると思うんだけど,?くなると思うんだけど,11,0
50,narubekuhayakukaeruyounihasurukedo,なるべく早く?るようにはするけど,なるべく早く?るようにはするけど,16,0
51,watashimamitoyakusokuarundakara,わたしマミと約束あるんだから,私まみと約束あるんだから,14,5
52,imahakazokugaicchidanketsushite,今は家族が一致?結して,今は家族が一致?結して,11,0
53,gato-bonu-runoke-kida,ガト?ボヌ?ルのケ?キだ,ガト?boぬ?ルンけ?きだ,12,6
54,ichiouninzuubunkattearuwayo,一?人?分買ってあるわよ,一?人?分買ってあるわよ,12,0
55,asoukun'niaitakutekitanonine,麻生君に?いたくて?たのにね,麻生君に?いたくてきたのにね,14,1
56,ichioukoehakaketanssukedone,一??はかけたんっすけどね,一??はかけたんっすけどね,13,0
57,nanikakanjigakawacchatta,何か感じが?わっちゃった,何か感じが?わっちゃった,12,0
58,kondohatsukaman'naiyounishiroyo,今度は捕まんないようにしろよ,今度はつかまんない?にしろよ,14,4
59,tochuumadeisshoniitandakedo,途中まで一?にいたんだけど,途中まで一?にいたんだけど,13,0
60,tsuginonikkawatoudehakkensaretano,次の日川島で?見されたの,次の日川等で?見されたの,12,1
61,anmarishin'youshitenairashii,あんまり信用してないらしい,あんまり信用してないらしい,13,0
62,tomodachikitekureteyokattawane,友達?てくれてよかったわね,友達?てくれてよかったわね,13,0
63,kon'nanitakusanmoracchatta,こんなにたくさんもらっちゃった,こんなにたくさんもらっちゃった,15,0
64,ugoitekurutoomoimasukeredomo,動いてくると思いますけれども,動いてくると思いますけれども,14,0
65,ryoutewoagetetenohirawouenishite,?手を上げて手のひらを上にして,?手をあげて手のひらを上にして,15,1
66,de-toniikerutonattara,デ?トに行けるとなったら,デ?トに行けるとなったら,12,0
67,son'nakotonaidesutte,そんなことないですって,そんなことないですって,11,0
68,imadekirukotoganbaruttekimetanda,今できること頑張るって決めたんだ,今できること頑張るって決めたんだ,16,0
69,gen'infumeinoshinkeihenseishikkan,原因不明の神??性疾患,原因不明の神?編成疾患,11,2
70,jaakekkyokukyounoikeuchitono,じゃあ結局今日の池?との,じゃあ結局今日の池?との,12,0
71,doushiyoukatoomottesa,どうしようかと思ってさ,どうしようかと思ってさ,11,0
72,sekkakunotanjoubinohini,せっかくの誕生日の日に,せっかくの誕生日の日に,11,0
73,sakkibyouin'nidenwakiteta,さっき病院に電話きてた,さっき病院に電話きてた,11,0
74,mesuhaesawosagashiniderundakedo,メスは餌を探しに出るんだけど,メスは餌を探しに出るんだけど,14,0
75,sonokandon'naniharahettemo,その間どんなに腹減っても,その?どんなに腹減っても,12,1
76,zuttotamagomamottemattendayo,ずっと卵守って待ってんだよ,ずっと卵守って待ってんだよ,13,0
77,hontouhasenpaihakonaikamotteomotteta,本?は先輩は?ないかもって思ってた,本?は先輩は?ないかもって思ってた,17,0
78,naniitterukawakan'nakunacchaundatte,何言ってるか分かんなくなっちゃうんだって,何いってるかれれないですよ,20,14
79,saigonihanetakirininatte,最後には?たきりになって,最後には?たきりになって,12,0
80,sonojinbutsuhahadenapankufasshon'ni,その人物は派手なパンクファッションに,その人物は派手なパンクファッションい,18,1
81,miwotsutsundeitasoudesuga,身を包んでいたそうですが,身を包んでいたそうですが,12,0
82,masanian'nakanjideshita,まさにあんな感じでした,まさにあんな感じでした,11,0
83,kiokunihajishingaarundesu,記憶には自信があるんです,記憶には自信があるんです,12,0
84,sakihodoanatagamitanoha,先ほどあなたが見たのは,先ほどあなたが見たのは,11,0
85,sakkikiokunihajishingaaruto,さっき記憶には自信があると,さっき記憶には自信があると,13,0
86,jishinganakunattekimashita,自信がなくなってきました,自信がなくなってきました,12,0
87,demomitemitakattawane,でも見てみたかったわね,でも見てみたかったわね,11,0
88,iroirooshietekudasaine,いろいろ?えてくださいね,色??えてくださいね,12,4
89,jimushonokeieinikoukenshitekudasaine,事務所の??に貢?してくださいね,事務所の??に貢?してくださいね,16,0
90,sorehaiijanaidesuka,それはいいじゃないですか,それはいいじゃないですか,12,0
91,kyouryokushitanohawatashitachidesu,協力したのは私たちです,協力したのは私たちです,11,0
92,watashimokyouryokuwoonegaisaretara,私も協力をお願いされたら,私も協力をお願いされたら,12,0
93,katsuraguraihakoumurimashitayo,カツラぐらいは被りましたよ,桂ぐらいは被りましたよ,13,3
94,watashimochottohakyouryokushimashita,私もちょっとは協力しました,私もちょっとは協力しました,13,0
95,kouiutokihajankendesho,こういう時はじゃんけんでしょ,こういう時はじゃんけんでしょ,14,0
96,miyatasanjanken'nikatete,宮田さんじゃんけんに勝てて,宮田さんじゃんけんに勝てて,13,0
97,omoikkirinonbirishichaimasho,思いっきりのんびりしちゃいましょ,思いっきりのんびりしちゃいましょ,16,0
98,toriaezuofurohairimashoune,とりあえずお風呂入りましょうね,とりあえずお風呂入りましょうね,15,0
99,osoroshiisatsujinjikengaokirukotonado,恐ろしい殺人事件が起きる事など,恐ろしい殺人事件が起きることなど,15,2
100,nonbirishiyoutteiimashitayone,のんびりしようって言いましたよね,のんびりしようって言いましたよね,16,0
101,purodexyu-sa-noshigotodesho,プロデュ?サ?の仕事でしょ,プロデュ?サ?の仕事でしょ,13,0
102,torikatanokufuudenantokasurukara,撮り方の工夫で何とかするから,とりかたの工夫でなんとかするから,14,5
103,asasugadaijoyuuttekanji,あさすが大女優って感じ,あさすが大女優ってかんじ,11,2
104,koukounotokinoyuujin'nandesu,高校の時の友人なんです,高校の時の友人なんです,11,0
105,watashitachikokonitomatteruno,私たちここに泊まってるの,私たちここに止まってるの,12,1
106,madakakedashimitaidesukedo,まだ?け出しみたいですけど,まだ?け出しみたいですけど,13,0
107,ohadatsurutsuruninarundesutte,お肌ツルツルになるんですって,お肌ツルツルになるんですって,14,0
108,iroirotokuroushitandane,いろいろと苦?したんだね,色?と苦?したんだね,12,4
109,watashihakonkaidakenandakedone,私は今回だけなんだけどね,私は今回だけなんだけどね,12,0
110,mariesanhataichougawaruimitaide,?理江さんは?調が?いみたいで,まりえさんは?調が?いみたいで,15,3
111,nanikachottokowasounahitone,何かちょっと怖そうな人ね,何かちょっと怖そうな人ね,12,0
112,hontohaiihitonandayo,ホントはいい人なんだよ,ほんとはいい人なんだよ,11,3
113,asakarakantokunosugatagamiataranakute,朝から監督の姿が見?たらなくて,朝から監督の姿が見うと思うけど,15,6
114,sukeju-rumokurucchatte,スケジュ?ルも狂っちゃって,スケジュ?ルも狂っちゃって,13,0
115,watashison'name-rudashitemasen,私そんなメ?ル出してません,私そんなメ?ルだしてません,13,1
116,soushinkirokuganokottemasuyo,送信記?が?ってますよ,送信記?が?ってますよ,11,0
117,onsendesatsujinjikentosouguushitano,?泉で殺人事件と遭遇したの,?泉で殺人事件と遭遇したの,13,0
118,shashindakedewakaruwakenaidaro,??だけでわかるわけないだろ,??だけでわかるわけないだろ,14,0
119,yamaokakantokutotashiromutsuminomaniha,山岡監督と田代睦美の間には,山岡監督と田代むつみのまには,13,4
120,toiuokusokugatobikatteiru,という憶測が飛び交っている,という憶測が飛び交っている,13,0
121,masukomidewadaininatteirujikendakeni,マスコミで話題になっている事件だけに,マスコミで話題になっている事件だけに,18,0
122,shousosurebajimushononamaegaagarimasune,勝訴すれば事務所の名前が上がりますね,勝訴すれば事務所のなまえがあがりますね,18,4
123,anatagasokomadeiundattara,あなたがそこまで言うんだったら,貴方がそこまで言うんだったら,15,3
124,sorehawatashigayokushitteimasu,それは私がよく知っています,それは私がよく知っています,13,0
125,hoterunosaijoukainiarutenboufuro,ホテルの最上階にある展望風呂,ホテルの最上階にある展望ふろ,14,2
126,kooriyamamadeikukurumanonakakara,郡山まで行く車の中から,郡山まで行く車の中から,11,0
127,sakinikaettaowabiwoshiteokoutoomotte,先に?ったお?びをしておこうと思って,先に?ったお?びをしておこうとおもって,18,2
128,sokodesaijoukainotenboufuronokotowo,そこで最上階の展望風呂の事を,そこで最上階の点亡父ろのことを,14,6
129,ohadagatsurutsuruninarukara,お肌がツルツルになるから,お肌がツルツルになるから,12,0
130,kyouryokusurukarananidemoittene,協力するから何でも言ってね,協力するからなにでも行ってね,13,3
131,darekagakattenijibun'nokeitaiwotsukatte,誰かが勝手に自分の携?を使って,誰かが勝手に自分の携?を使って,15,0
132,shinhan'ningamitsukaranaimademo,?犯人が見つからないまでも,?犯人が見つからないまでも,13,0
133,dehahikokujinhasekinimodottekudasai,では被告人は席に?ってください,では日?人は席にもどってください,15,4
134,seppakuryuuzan'nokikengaattasoudesuga,切迫流産の危?があったそうですが,切迫流産おきけんがあったそうですが,16,4
135,suunichinyuuinsurebashinpainaisoudesu,?日入院すれば心配ないそうです,?日入院すればしんぱいないそうです,15,4
136,jaasaibanhaizuresaikaisaremasune,じゃあ裁判はいずれ再開されますね,じゃあ裁判はいずれ再開されますね,16,0
137,sorenishitemozendaimimon'ne,それにしても前代未聞ね,それにしても前代未聞え,11,1
138,mutsumidoushiteoshietekurenakattandarou,睦美どうして?えてくれなかったんだろう,むつみどうして?えてくれなかったんだろう,19,3
139,kantokugauramarerunantenaitoomou,監督が恨まれるなんてないと思う,監督が恨まれるなんてないと思う,15,0
140,kibishiikedoomoiyarinoaruhitodakara,?しいけど思いやりのある人だから,?しいけど思いやりのある人だから,16,0
141,jouren'niuttayounakigashimasune,常連に?ったような?がしますね,常連に打ったような?がしますね,15,1
142,jayamaokasangasatsugaisaretajikokuni,じゃ山岡さんが殺害された時刻に,じゃ山岡さんが殺害されたじこくに,15,3
143,raunjideanatatoisshoniitanoha,ラウンジであなたと一?にいたのは,ラウンジであなたと一?にいたのは,16,0
144,arigatougozaimashita,ありがとうございました,ありがとうございました,11,0
145,nanikamutsumichan'nifurininarukotowo,何か睦美ちゃんに不利になる事を,何かむつみちゃんいふりになることを,15,8
146,tsugeguchisurumitaidehanashinikukutene,告げ口するみたいで話しにくくてね,告げ口するみたいで話しにくくてね,16,0
147,kouchishonimodosaretasouyo,拘置所に?されたそうよ,拘置所に?されたそうよ,11,0
148,iroirokiitemawattandesukedo,色?訊いて回ったんですけど,色?聞いて回ったんですけど,13,1
149,anonichisakinitoukyounikaettemasu,あの日先に東京に?ってます,あの日先に東京に?ってます,13,0
150,kayamapurodexyu-sa-gashougenshitemasu,香山プロデュ?サ?が?言してます,加山プロデュ?サ?が?言してます,16,1
151,inta-nettowotsuujitetoukousurundesu,インタ?ネットを通じて投稿するんです,インタ?ネットを通じて投稿するんです,18,0
152,konodougagatoukousaretanoga,この動?が投稿されたのが,この動?が投稿されたのが,12,0
153,tsumarijiken'yokujitsunoasadesu,つまり事件翌日の朝です,つまり事件翌日のあさです,11,2
154,yapparisatsueisaretanoha,やっぱり撮影されたのは,やっぱり撮影されたのは,11,0
155,boushitomasukunootokoitajanaidesuka,帽子とマスクの男いたじゃないですか,帽子とマスクの男いたじゃないですか,17,0
156,anoshoutaigawakattandesu,あの正?がわかったんです,あの正?がわかったんです,12,0
157,aiteyakuwotsutomerusutouken'ichisankara,相手役を務める須藤健一さんから,相手役を勤める須藤けにちさんから,15,4
158,houfuwoukagaitaitoomoimasu,抱負を伺いたいと思います,豊富を伺いたいと思います,12,2
159,fan'nohitohatachiirikinshidesuyo,ファンの人は立ち入り禁止ですよ,ファンの人は立入禁止ですよ,15,2
160,juunanseigaaruttekotojanaidesuka,柔軟性があるって事じゃないですか,じゅうなん性があるってことじゃないですか,16,7
161,kurumamadenoseteitadaite,車まで?せていただいて,車までのせていただいて,11,1
162,sorehaaribaidemonanidemonaizo,それはアリバイでも何でもないぞ,それはアリバイでも何でもないぞ,15,0
163,sekkakuyasashikushiteagetanoni,せっかく優しくしてあげたのに,せっかく優しくしてあげたのに,14,0
164,senseikonoheyananikaatsukunaidesuka,先生この部屋何か暑くないですか,先生この部屋何か暑くないですか,15,0
165,rimokondokoicchattandarou,リモコンどこいっちゃったんだろう,りも今度こいっちゃったんだろう,16,5
166,zuttokikasetemorattattewakeda,ずっと聞かせてもらったってわけだ,ずっと聞かせてもらったってわけだ,16,0
167,otegaratoiitaitokorodagana,お手柄と言いたいところだがな,お手柄と言いたいところだがな,14,0
168,koregayamamurayoukonosaibou,これが山村ヨウコの細胞,これが山村ようこの際ぼう,11,6
169,arenaratokkunikaisekishoriwooeta,あれならとっくに解析?理を終えた,あれならとっくに解析?理をおえた,16,1
170,orenohoudemoshirabetemitainda,俺のほうでも調べてみたいんだ,俺の方でも調べてみたいんだ,14,2
171,kunrenwouketachouhon'nindesura,訓練を受けた張本人ですら,訓練を受けた張本人ですら,12,0
172,taekirerumonohaimasen,耐え切れる者はいません,耐えきれるものは居ません,11,4
173,isshonigohantaberutokoronano,一?にご飯食べるところなの,一?にご飯食べるところなの,13,0
174,kon'natazunekatashikadekinakute,こんな訪ね方しか出?なくて,こんな尋ねか確かできなくて,13,5
175,aruyatsunonamaetojuushowo,あるヤツの名前と住所を,あるやつの名前と住所を,11,2
176,soshitarahontounisoitsugashinde,そしたら本?にそいつが死んで,そしたら本?にそいつが死んで,14,0
177,yatsuraniyarareppanashida,やつらにやられっぱなしだ,奴らにやられっぱなしだ,12,2
178,imasukoshiyasumaseterundesu,いま少し休ませてるんです,今少し休ませてるんです,12,2
179,saikaisarerukotohenokyoufuwoidakimasu,再開されることへの恐怖を抱きます,再開されることへのきょうふをいだきます,16,6
180,mamonakukanojohaochimasu,間もなく彼女は落ちます,間もなく彼女は落ちます,11,0
181,shikkarioboetehoshindakedo,しっかり?えてほしんだけど,しっかり?えて欲しんだけど,13,1
182,chichioyanokotowoaitsunishiraseruna,父親のことをあいつに知らせるな,父親のことをあいつに知らせるな,15,0
183,zenzen'ochine-janaika,全然落ちね?じゃないか,全然落ちね?じゃないか,11,0
184,yosouijouninebatteimasu,予想以上に粘っています,予想以上に粘っています,11,0
185,dattaramottoreberuwoagero,だったらもっとレベルを上げろ,だったらもっとレベルを上げろ,14,0
186,shindeshimattaranidototegakari,死んでしまったら二度と手がかり,死んでしまったら二度と手掛かり,15,1
187,kakawaraserukotohahontounisaketaindaga,?わらせることは本?に避けたいんだが,?わらせる事は本?にさ桁いんだが,18,5
188,aitsurawotsukamaeruchansunandaro,あいつらを捕まえるチャンスなんだろ,あいつらを捕まえるチャンスなんだろ,17,0
189,terorisutokakuhonosaininanikaattatokiha,テロリスト確保の際に何かあった時は,テロリスト確保のさいになにかあったときは,17,6
190,kuniwomamorukotogasaiyuusenda,?を守ることが最優先だ,?を守る事が最優先だ,11,2
191,demochottogenkidetekimashita,でもちょっと元?出てきました,でもちょっと元?出てきました,14,0
192,sonohitoniawaseteageru,その人に?わせてあげる,その人に合わせてあげる,11,1
193,son'namonsakkinoaoikurumawo,そんなもんさっきの?い車を,そんなもんさっきの?い車を,13,0
194,tsukamaetemirebawakarundayo,捕まえてみればわかるんだよ,捕まえてみればわかるんだよ,13,0
195,mousukoshidetaisetsunashouninwo,もう少しで大切な?人を,もう少しで大切な承認を,11,2
196,shoushougouin'natokorogaarimashite,少??引なところがありまして,少??引あところがありまして,14,1
197,nanikaijittenaitoochitsukanakute,何かいじってないと落ち着かなくて,何かいじってないと落ち着かなくて,16,0
198,jidoushahanbaikaishanitsutomeru,自動車販??社に勤める,自動車販??社につとめる,11,2
199,genbaniarasottakeisekiganakattakotokara,現場に?った形跡がなかったことから,現場に?った形跡がなかったことから,17,0
200,zuibunhenpinatokorodana,ずいぶん?鄙なところだな,?分返品ところだな,12,7
201,uirusuwokakushiteirundakara,ウイルスを?しているんだから,ウイルスを?しているんだから,14,0
202,nakamawohikitsuretemodottekurukamoyo,仲間を引き連れて?ってくるかもよ,仲間を引き連れて?ってくるかもよ,16,0
203,hetanashinrisenshikakeyagatte,下手な心理?仕掛けやがって,下手な心理?しか花野がって,13,4
204,oretachininanimodekinakusaseru,俺たちに何も出?なくさせる,俺たちに何も出?なくさせる,13,0
205,imanotokoromiataranai,今のところ見?たらない,今のところ見?たらない,11,0
206,son'namonsakkinoaoikuruma,そんなもんさっきの?い車,そんなもんさっきの?い車,12,0
207,oremohayakukidukubekidatta,俺も早く?づくべきだった,俺も早く?づくべきだった,12,0
208,antagahan'nindattewakaruyouninatteimasu,あんたが犯人だってわかるようになっています,あんたが犯人だってわかるようになっています,21,0
209,iiwakehahonbudeyukkurishiro,言い?は本部でゆっくりしろ,言い?は本部でゆっくりしろ,13,0
210,anatahawatashitachigaiukotowo,あなたは私たちが言うことを,貴方は私たちが言うことを,13,3
211,hi-ro-gahan'nin'nosenakani,ヒ?ロ?が犯人の背中に,ヒ?ロ?が犯人の背中に,11,0
212,korekarahausodatteomoinasai,これからは?だって思いなさい,これからは?だって思いなさい,14,0
213,sorejaasaigonimouhitotsutanomu,それじゃあ最後にもうひとつ?む,それじゃあ最後にもう一つ?む,15,2
214,joukuukaragenbanokakuteihadekimasen,上空から現場の?定はできません,上空から原盤かくていはできません,15,6
215,sonogonojoukyouhoukokuonegaishimasu,その後の?況報告お願いします,その後の?況報告お願いします,14,0
216,otagaiganbatteikiteikimashoune,お互い頑張って生きていきましょうね,お互い頑張って生きていきましょうね,17,0
217,houkokugaokuretesumimasen,報告が送れてすみません,報告が?れてすみません,11,1
218,juuwoubawareutaremashita,銃を奪われ?たれました,銃を奪われ打たれました,11,1
219,jibun'noshoutaigabaretanoka,自分の正?がバレたのか,自分の正?がバレたのか,11,0
220,konomamanonagaredekekkouda,このままの流れで決行だ,このままの流れで結構だ,11,2
221,takagikunkaniinakattandakedo,高木君家にいなかったんだけど,高木くん家にいなかったんだけど,14,2
222,kochiranohoutomokakuninshitemimasu,こちらの方とも確認してみます,こちらの方とも確認してみます,14,0
223,harukachankonbyouin'nandesukedo,?ちゃん今病院なんですけど,はるかちゃんこん病院なんですけど,13,5
